127.0.0.1 - - [22/Feb/2019:09:48:50 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:51 +0900] "GET /doofun/WEB-INF/doofun/project/allproject.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:56 +0900] "GET /doofun/ HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:56 +0900] "GET /doofun/css/lookaround.css HTTP/1.1" 200 4806
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:56 +0900] "GET /doofun/javascript/detailProject.js HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:56 +0900] "GET /doofun/javascript/newProject.js HTTP/1.1" 200 9221
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:56 +0900] "GET /doofun/css/header.css HTTP/1.1" 200 1946
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:56 +0900] "GET /doofun/css/newproject.css HTTP/1.1" 200 8492
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:56 +0900] "GET /doofun/javascript/pjpreview.js HTTP/1.1" 200 3360
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:56 +0900] "GET /doofun/javascript/cal.js HTTP/1.1" 200 22535
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:56 +0900] "GET /doofun/images/yakdol.jpg HTTP/1.1" 200 120837
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:57 +0900] "GET /doofun/cal_img/right1.gif HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:57 +0900] "GET /doofun/cal_img/down.gif HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:57 +0900] "GET /doofun/cal_img/left2.gif HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:57 +0900] "GET /doofun/cal_img/arrow.gif HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:57 +0900] "GET /doofun/cal_img/drop2.gif HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:57 +0900] "GET /doofun/cal_img/close.gif HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:57 +0900] "GET /doofun/cal_img/right2.gif HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:57 +0900] "GET /doofun/cal_img/left1.gif HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:57 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:58 +0900] "GET /doofun/userLogin HTTP/1.1" 200 5707
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:58 +0900] "GET /doofun/javascript/newProject.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:48:58 +0900] "GET /doofun/javascript/detailProject.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:50:02 +0900] "GET /doofun/main HTTP/1.1" 200 26335
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:50:02 +0900] "GET /doofun/javascript/newProject.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:50:02 +0900] "GET /doofun/javascript/detailProject.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2019:09:50:02 +0900] "GET /doofun/images/pick1.png HTTP/1.1" 200 1972
